column,missing_count_before,total_count_before,missing_percent_before,missing_count_after,total_count_after,missing_percent_after
OfficeCd,0.0,152904.0,0.0,0,152865,0.0
category,0.0,152904.0,0.0,0,152865,0.0
expiry_month,,,,0,152865,0.0
fromdate,0.0,152904.0,0.0,0,152865,0.0
fuel,3211.0,152904.0,2.1,0,152865,0.0
insuranceValidity,39.0,152904.0,0.03,0,152865,0.0
insurance_duration_days,,,,0,152865,0.0
makeYear,0.0,152904.0,0.0,0,152865,0.0
registration_month,,,,0,152865,0.0
registration_year,,,,0,152865,0.0
seatCapacity,0.0,152904.0,0.0,0,152865,0.0
secondVehicle,0.0,152904.0,0.0,0,152865,0.0
slno,0.0,152904.0,0.0,0,152865,0.0
tempRegistrationNumber,0.0,152904.0,0.0,0,152865,0.0
todate,0.0,152904.0,0.0,0,152865,0.0
vehicleClass,0.0,152904.0,0.0,0,152865,0.0
vehicle_age,,,,0,152865,0.0
