vehicle_class,avg_duration_days,median_duration_days,count
AMBULANCE,379.94444444444446,389.5,18
ARTICULATED VEHICLES,373.0,373.0,1
AUTO RICKSHAW,376.65243083534784,379.0,3723
CHASSIS TRANSPORT,377.96676737160124,378.0,662
CRANE FOR PRIVATE USE,356.55555555555554,373.0,18
ECART,362.0,362.0,2
FORK LIFT,344.8333333333333,364.0,6
GOODS CARRIAGE,383.47642163661584,380.0,4326
LOADER,450.4634146341463,382.0,41
MAXI CAB,487.4260869565217,383.0,115
MOTOR CAB,487.981102850062,382.0,3228
MOTOR CAR,1112.0429732525492,1113.0,33835
MOTOR CYCLE,1836.506844395623,1838.0,94676
MOTOR CYCLE FOR HIRE,547.2261904761905,372.0,252
MOTOR GRADER,371.0,371.0,1
OMINIBUS,375.7931034482759,375.0,174
OMNIBUS FOR PRIVATE USE,1110.923076923077,1111.0,39
QUADRACYCLE TRANSPORT,342.0,342.0,1
ROAD ROLLER,380.53846153846155,384.0,13
SELF LOADING CONCRETE MIXER,378.3125,374.5,16
SELF PROPELLED HARVESTER,377.57142857142856,381.0,14
THREE WHEELED GOODS VEHICLE,375.84241408214586,380.0,1193
TRACTOR DRIVEN COMBINED HARVESTER,376.0869565217391,374.0,46
TRACTOR FOR AGRICULTURAL PURPOSE,378.97282741738064,380.0,4085
TRACTOR FOR COMMERCIAL USE,379.19992947813824,380.0,2836
TRAILER FOR AGRICULTURE PURPOSE,309.48447789275633,365.0,1063
TRAILER FOR COMMERCIAL USE,330.4229406554473,364.0,2258
VEHICLE FITTED WITH CONSTRUCTION EQUIPMENT,381.64125560538116,382.0,223
